AccountNumber,AnnualRevenue,BillingCity,BillingCountry,BillingGeocodeAccuracy,BillingLatitude,BillingLongitude,BillingPostalCode,BillingState,BillingStreet,Description,ExternalId__c,Industry,Interests__c,Name,NumberOfEmployees,Phone,Rating,Tradestyle,Type,Website
AC-000000,47012215,,USA,Address,,,92602,CA,5917 Oak St,Description for ACC_0000,ACC_0000,Healthcare,Technology,Vantage Ventures 0,1183,555-392-9369,,,Prospect,
AC-000001,,San Jose,USA,Address,37.345464,-121.849675,95112,CA,5396 Lake Blvd,Description for ACC_0001,ACC_0001,Consulting,Other,Nova Group 1,3529,479-932-4043,Cold,,Partner,https://www.novagroup1.com
AC-000002,48232313,San Diego,USA,Address,32.706440,-117.188095,92101,CA,6615 Sunset Ln,Description for ACC_0002,ACC_0002,,,Nova Group 2,1070,641-427-9786,Hot,Umbrella Corp,Prospect,https://www.novagroup2.com
AC-000003,89409978,Long Beach,USA,Address,,,90802,CA,9732 Sunset Blvd,Description for ACC_0003,ACC_0003,Healthcare,Other,Emerald Systems 3,4130,104-302-4103,Warm,,Partner,https://www.emeraldsystems3.com
,39800492,Irvine,USA,Address,33.688482,-117.785367,92602,CA,2830 Maple St,Description for ACC_0004,ACC_0004,Healthcare,Art,Emerald Solutions 4,2196,(555) 863-4337,Hot,,Prospect,https://www.emeraldsolutions4.com
AC-000005,69857450,San Diego,,Address,,,,CA,1029 Oak Dr,Description for ACC_0005,ACC_0005,Healthcare,Consulting;Entertainment;Environmental,Vantage Group 5,905,(555) 220-4275,Cold,,Partner,https://www.vantagegroup5.com
AC-000006,,Palo Alto,USA,Address,37.411033,-122.123094,94301,CA,7582 Broadway Ln,Description for ACC_0006,ACC_0006,,,Apex Systems 6,,(555) 894-9713,Cold,,Partner,https://www.apexsystems6.com
AC-000007,59052732,Sacramento,USA,Address,,,95814,CA,,Description for ACC_0007,ACC_0007,Banking,Other,Stellar Group 7,961,(555) 550-2553,Warm,,Prospect,https://www.stellargroup7.com
AC-000008,75850174,Los Angeles,,Address,,,90001,CA,8757 Pine Rd,Description for ACC_0008,ACC_0008,Banking,Other,Emerald Dynamics 8,2961,(555) 485-7810,Cold,,Prospect,https://www.emeralddynamics8.com
AC-000009,84125220,Palo Alto,USA,Address,37.489659,-122.155702,94301,CA,4962 Sunset Ln,Description for ACC_0009,ACC_0009,Consulting,Technology,Blue Logistics 9,674,,Warm,,Customer,https://www.bluelogistics9.com
,,San Jose,,,37.371850,-121.885285,95112,CA,,Description for ACC_0010,ACC_0010,Technology,Consulting;Entertainment;Environmental,Vantage Ventures 10,469,363-871-3790,Warm,,,https://www.vantageventures10.com
AC-000011,48762637,,USA,Address,37.356440,-121.856479,,CA,469 Washington Dr,,ACC_0011,,,Stellar Group 11,4733,307-110-9213,Cold,Hooli,Customer,https://www.stellargroup11.com
AC-000012,69918760,Fresno,USA,Address,,,93701,CA,,Description for ACC_0012,ACC_0012,Healthcare,Technology,Blue Systems 12,2770,555-886-4209,Cold,Umbrella Corp,Customer,https://www.bluesystems12.com
AC-000013,76974642,San Jose,,Address,37.343260,-121.886078,95112,CA,4446 Broadway Ln,Description for ACC_0013,ACC_0013,Banking,Consulting;Entertainment;Environmental,Blue Logistics 13,3846,681-132-8277,Warm,Initech,Partner,https://www.bluelogistics13.com
AC-000014,76361137,San Francisco,USA,Address,37.810831,-122.443549,94105,CA,1766 Main St,Description for ACC_0014,ACC_0014,Consulting,Technology,Pacific Logistics 14,765,(555) 194-3825,Hot,Initech,Partner,https://www.pacificlogistics14.com
AC-000015,8117051,Oakland,USA,Address,37.809762,-122.236788,94601,CA,5949 Washington Blvd,Description for ACC_0015,ACC_0015,Healthcare,Technology,Summit Logistics 15,182,555-627-7246,Cold,Initech,,
AC-000016,67496309,,USA,Address,37.314335,-121.878628,95112,CA,5370 Oak Dr,Description for ACC_0016,ACC_0016,,,Stellar Enterprises 16,3714,,Warm,,Customer,https://www.stellarenterprises16.com
AC-000017,23372330,,USA,Address,37.761432,-122.445701,94105,CA,2354 Maple Ave,Description for ACC_0017,ACC_0017,Consulting,Art,Stellar Logistics 17,,925-288-6353,,Hooli,Partner,https://www.stellarlogistics17.com
AC-000018,1010960,Long Beach,USA,Address,33.729997,-118.170936,90802,CA,5052 Highland Rd,Description for ACC_0018,ACC_0018,Healthcare,Technology,Summit Group 18,1603,351-392-5373,,,Prospect,
AC-000019,1864759,,USA,Address,33.792176,-118.150093,90802,CA,8945 Oak Ave,Description for ACC_0019,ACC_0019,Banking,Technology,Apex Systems 19,3523,555-519-6963,Warm,,Partner,https://www.apexsystems19.com
AC-000020,14260770,Irvine,USA,Address,33.696338,-117.796416,92602,CA,3296 Highland St,,ACC_0020,Banking,Other,Vantage Dynamics 20,1039,330-683-7124,Cold,,Customer,https://www.vantagedynamics20.com
AC-000021,56934681,Palo Alto,USA,Address,37.482482,-122.182160,94301,,9225 Highland Rd,Description for ACC_0021,ACC_0021,Banking,Technology,Global Systems 21,3969,(555) 942-9613,Cold,,Partner,https://www.globalsystems21.com
AC-000022,62171782,Fresno,USA,Address,36.760950,-119.824931,93701,CA,2001 Maple Blvd,Description for ACC_0022,ACC_0022,Banking,Consulting;Entertainment;Environmental,Blue Solutions 22,2847,(555) 560-8656,Cold,,Customer,https://www.bluesolutions22.com
